Timestamp,0. Are you currently employed in Berlin or by a Berlin-based organization?,1. Gender:,2. Age:,3. Highest vocational qualification attained:,4. Years of total work experience:,5. Citizenship,6. Type of organisation,7. Industry,"8. Company size (global, entire organisation)",9. Years in current company:,10. Job/Position title,11. Which best describes your role in your current company?,12. Years in current position:,13. Full-time / Part-time,14. Contract in hours per week,15. Total annual gross salary in EUR (before taxes and deductions),"16. Performance-related pay or bonuses (gross) in EUR - CAN SKIP IF ""0""","17. Total Annual Equity Compensation (stock options, ESOPs, etc.) in EUR - CAN SKIP IF ""0""",18. Salary raise since January 2023,19. ID,20. Contract in hours per week (Normalized)
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Bachelor's Degree,3-5,Other-EU,A private firm,Technology/Software Development,201-500,Less than 1,Team Assistant,Individual Contributor (no direct reports),Less than 1,Full-time,40,50.000,na,0,No raise,680,40
 06/2023  ,No.,Male,35-39,Master's Degree,11-15,Other-EU,A private firm,Technology/Software Development,1000+,Less than 1,Engineering Manager,Manager (manages team),3-5,Full-time,40,140.000,na,13.000,No raise,216,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,11-15,Other-EU,A private firm,Retail & Wholesale Trade,1000+,Less than 1,Product designer,Individual Contributor (no direct reports),Less than 1,Full-time,40,50.000,na,0,No raise,753,40
 06/2023  ,No.,Male,25-29,Bachelor's Degree,3-5,Non-EU,A private firm,Technology/Software Development,1-10,1-2,Student / Software Engineer,Individual Contributor (no direct reports),1-2,Part-time,20,11.000,na,na,No raise,218,20
 06/2023  ,"Yes, I'm physically working in Berlin.",Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Marketing Manager,Individual Contributor (no direct reports),Prefer not to say,Full-time,40,50.000,1.000,0,1-5%,892,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Female,30-34,Bachelor's Degree,3-5,Non-EU,A state-owned enterprise,Technology/Software Development,51-200,1-2,Frontend Engineer,Prefer not to say,Less than 1,Full-time,40,50.000,na,0,No raise,907,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,45-49,Apprenticeship/Vocational Training (Dual System),21-30,German,A state-owned enterprise,Other Services,201-500,3-5,Sound Technician,Individual Contributor (no direct reports),21-30,Full-time,40,50.000,1.200,0,16-20%,918,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,3-5,Sales and marketing manager,Individual Contributor (no direct reports),3-5,Full-time,40,50.000,2.000,0,No raise,1010,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Bachelor's Degree,11-15,Non-EU,A private firm,Technology/Software Development,51-200,3-5,Senior Visual designer,Team Lead (manages small team),Less than 1,Full-time,40,50.000,na,0,No raise,1013,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1000+,1-2,Consultant,Individual Contributor (no direct reports),1-2,Full-time,40,51.000,5.000,0,No raise,304,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Other-EU,A private firm,"Utilities (Electricity, Gas, Steam, Air Conditioning Supply)",51-200,1-2,Analyst,Team Lead (manages small team),1-2,Full-time,47,51.000,na,0,1-5%,563,47
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,30-34,Master's Degree,6-10,Other-EU,A private firm,Education,51-200,1-2,Senior Marketing Editor,Individual Contributor (no direct reports),1-2,Full-time,40,51.000,na,0,11-15%,678,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Master's Degree,16-20,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,Less than 1,Sustainability Consultant,Individual Contributor (no direct reports),Less than 1,Full-time,40,51.000,na,0,No raise,948,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Prefer not to say,3-5,Other-EU,A private firm,Healthcare and Pharmaceuticals,51-200,Less than 1,Software Engineer,Individual Contributor (no direct reports),Less than 1,Part-time,35,51.000,na,0,Prefer not to say,1042,35
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,3-5,Non-EU,A private firm,Information & Communication,201-500,Less than 1,Junior Product Analyst,Individual Contributor (no direct reports),1-2,Full-time,40,51.000,na,1.000,No raise,1056,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1000+,1-2,Consultant,Team Lead (manages small team),1-2,Full-time,40,52.000,na,0,1-5%,48,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,Non-EU,A private firm,Transportation & Storage,1000+,3-5,Network Planning Manager,Individual Contributor (no direct reports),1-2,Full-time,40,52.000,na,0,1-5%,206,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,1-2,Other-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,Less than 1,Data Scientist,Individual Contributor (no direct reports),Less than 1,Full-time,40,52.000,na,0,No raise,342,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Diploma,16-20,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",11-50,1-2,Consultant,Team Lead (manages small team),1-2,Full-time,40,52.000,na,0,11-15%,545,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,Non-EU,A private firm,Technology/Software Development,201-500,Less than 1,Talent Acquisition Partner,Individual Contributor (no direct reports),3-5,Full-time,40,52.000,na,0,No raise,655,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,24 or under,Bachelor's Degree,1-2,Dual (Ger/EU and EU),A private firm,Hospitality (Accommodation and Food Services),11-50,Less than 1,Customer Support,Individual Contributor (no direct reports),Less than 1,Full-time,40,52.000,na,0,No raise,779,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Bachelor's Degree,16-20,Other-EU,A private firm,Information & Communication,51-200,11-15,Manager,Team Lead (manages small team),11-15,Full-time,40,52.000,na,0,1-5%,787,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Doctor's Degree,3-5,Non-EU,Other public sector (such as education and health),Education,,1-2,Postdoctoral researcher,Individual Contributor (no direct reports),1-2,Full-time,40,52.000,na,0,1-5%,789,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,Technology/Software Development,51-200,3-5,Sales Operations Manager,Individual Contributor (no direct reports),1-2,Full-time,40,52.000,na,0,No raise,807,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,25-29,Bachelor's Degree,1-2,German,A Non-governmental organization (NGO),Other Services,1000+,1-2,Data Analyst,Individual Contributor (no direct reports),1-2,Full-time,"38,5",52.000,3.276,0,No raise,899,"38,5"
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Apprenticeship/Vocational Training (Dual System),16-20,German,A private firm,Other Services,201-500,Less than 1,Head of Security,Manager (manages team),3-5,Full-time,40,53.000,56.800,0,No raise,35,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,6-10,Other-EU,A private firm,Retail & Wholesale Trade,51-200,1-2,Quality Assurance Engineer,Individual Contributor (no direct reports),3-5,Part-time,32,53.000,na,0,No raise,147,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,45-49,Diploma,21-30,German,A private firm,Technology/Software Development,11-50,16-20,Product Designer,Individual Contributor (no direct reports),16-20,Full-time,"38,5",53.000,4.402,0,1-5%,167,"38,5"
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,German,A private firm,Information & Communication,51-200,1-2,Junior Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,53.000,na,0,No raise,459,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Doctor's Degree,3-5,Other-EU,A private firm,Healthcare and Pharmaceuticals,201-500,3-5,Data Scientist,Individual Contributor (no direct reports),1-2,Full-time,40,53.000,na,0,No raise,511,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,51-200,3-5,Data Analyst,Individual Contributor (no direct reports),6-10,Full-time,42,53.000,1.000,0,1-5%,575,42
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,1-2,German,A private firm,Technology/Software Development,1000+,1-2,Trainee software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,53.000,5.300,0,No raise,737,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Other-EU,A private firm,Finance & Insurance,1000+,1-2,System Administrator,Individual Contributor (no direct reports),1-2,Full-time,40,53.000,na,0,No raise,851,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,Non-EU,A private firm,Technology/Software Development,501-1000,1-2,Data Analyst,Individual Contributor (no direct reports),3-5,Full-time,40,53.000,na,0,No raise,856,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,11-15,Other-EU,A Non-governmental organization (NGO),Technology/Software Development,51-200,1-2,Social Media Manager,Individual Contributor (no direct reports),1-2,Part-time,32,53.000,na,0,No raise,949,32
 06/2023  ,No.,Female,35-39,Bachelor's Degree,11-15,Other-EU,A private firm,Technology/Software Development,51-200,Less than 1,People and Culture Director,Senior Manager/Director (manages departments),6-10,Full-time,40,100.000,na,1.300,No raise,250,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A state-owned enterprise,"Professional Services (e.g., consulting, Engineering, and legal services)",201-500,3-5,Engineer,Prefer not to say,3-5,Full-time,39,53.000,na,0,6-10%,1003,39
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",11-50,Less than 1,Architect,Individual Contributor (no direct reports),Less than 1,Full-time,40,54.000,na,0,No raise,66,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,German,Other,Technology/Software Development,1000+,3-5,Junior Researcher,Individual Contributor (no direct reports),3-5,Full-time,40,54.000,na,0,1-5%,117,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Other-EU,A private firm,Technology/Software Development,51-200,1-2,Revenue Operations Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,54.000,na,0,No raise,129,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,1-2,Project Manager Specialist,Individual Contributor (no direct reports),Less than 1,Full-time,40,54.000,na,0,6-10%,175,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Non-EU,A Non-governmental organization (NGO),Healthcare and Pharmaceuticals,201-500,3-5,Communications Officer,Individual Contributor (no direct reports),1-2,Full-time,40,54.000,na,0,16-20%,229,40
 06/2023  ,No.,Male,25-29,Trade and Technical School Certificate,6-10,German,A private firm,Manufacturing,201-500,3-5,AV,Individual Contributor (no direct reports),Less than 1,Full-time,38,59.000,na,na,6-10%,257,38
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,No vocational qualification attained,3-5,Dual (Ger/EU and EU),A private firm,Other Services,11-50,Less than 1,Relocation Manager,Individual Contributor (no direct reports),3-5,Full-time,37,54.000,na,0,No raise,414,37
 06/2023  ,No.,Female,30-34,Bachelor's Degree,6-10,Non-EU,A private firm,Technology/Software Development,201-500,Less than 1,Product Associate,Individual Contributor (no direct reports),Less than 1,Full-time,40,50.000,na,na,No raise,259,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Master's Degree,Less than 1,Other-EU,A private firm,Technology/Software Development,1000+,Less than 1,Lead Data Operations Support,Individual Contributor (no direct reports),Less than 1,Full-time,40,54.000,na,5.000,No raise,462,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,201-500,1-2,Product Manager,Team Lead (manages small team),1-2,Full-time,40,54.000,na,0,1-5%,488,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Trade and Technical School Certificate,3-5,German,A private firm,Technology/Software Development,501-1000,3-5,IT Administrator,Individual Contributor (no direct reports),1-2,Full-time,40,54.000,na,0,6-10%,634,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,11-15,Non-EU,A private firm,Retail & Wholesale Trade,1000+,1-2,Frontend Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,54.000,na,0,No raise,752,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Other-EU,A private firm,Construction,1-10,6-10,Project Manager,Individual Contributor (no direct reports),1-2,Full-time,40,54.000,na,0,6-10%,882,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,24 or under,Bachelor's Degree,1-2,Other-EU,A private firm,Retail & Wholesale Trade,1000+,1-2,Junior Data Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,54.000,na,1.500,No raise,922,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Other-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",51-200,Less than 1,Plant planner,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,27,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,German,A private firm,Other Services,51-200,Less than 1,QA Engineer,na,Less than 1,Full-time,40,55.000,na,0,No raise,53,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",51-200,Less than 1,QA Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,55.000,na,0,No raise,128,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",201-500,3-5,Project Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,55.000,na,0,1-5%,160,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,25-29,Bachelor's Degree,1-2,Other-EU,A private firm,Information & Communication,51-200,Less than 1,Software Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,255,40
 06/2023  ,No.,Male,30-34,Master's Degree,6-10,German,A private firm,Technology/Software Development,1000+,1-2,Product Manager,Senior Manager/Director (manages departments),Less than 1,Full-time,38,130.000,na,na,1-5%,271,38
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A private firm,Technology/Software Development,51-200,Less than 1,Data Analyst,Individual Contributor (no direct reports),3-5,Full-time,40,55.000,na,0,Prefer not to say,320,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Bachelor's Degree,6-10,Other-EU,A private firm,Technology/Software Development,51-200,1-2,Product Owner,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,476,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,24 or under,Master's Degree,1-2,Non-EU,A state-owned enterprise,Technology/Software Development,1000+,Less than 1,Senior Software Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,10.000,0,No raise,550,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,40-44,Bachelor's Degree,1-2,Dual (Ger/EU and EU),A private firm,Technology/Software Development,201-500,Less than 1,Software Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,620,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,30-34,Master's Degree,6-10,German,A private firm,Healthcare and Pharmaceuticals,1000+,Less than 1,Team Lead,Team Lead (manages small team),Less than 1,Full-time,40,55.000,na,5.000,No raise,625,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Information & Communication,51-200,1-2,Technical Writer,Individual Contributor (no direct reports),3-5,Full-time,40,55.000,na,0,6-10%,638,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Female,30-34,Master's Degree,3-5,Non-EU,A state-owned enterprise,Transportation & Storage,51-200,1-2,Product owner,Individual Contributor (no direct reports),3-5,Full-time,40,55.000,na,0,6-10%,640,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Other-EU,A private firm,Technology/Software Development,501-1000,Less than 1,Integration Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,676,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,German,A private firm,Finance & Insurance,201-500,Less than 1,Software Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,1.000,0,No raise,734,40
 06/2023  ,No.,Female,25-29,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,11-50,1-2,Senior PM,Individual Contributor (no direct reports),1-2,Full-time,40,70.000,na,5.000,No raise,281,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,6-10,Other-EU,A private firm,Technology/Software Development,201-500,Less than 1,CRM Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,744,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,3-5,Non-EU,A private firm,Manufacturing,201-500,Less than 1,Data Analyst,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,775,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Trade and Technical School Certificate,3-5,Non-EU,A private firm,Real Estate,51-200,Less than 1,Frontend Engineer,Individual Contributor (no direct reports),3-5,Full-time,40,55.000,na,0,Prefer not to say,840,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,1-2,Non-EU,A private firm,Other Services,1000+,Less than 1,Junior Software Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,7.000,0,1-5%,857,40
 06/2023  ,No.,Male,30-34,Master's Degree,6-10,Other-EU,A private firm,Information & Communication,51-200,Less than 1,Director of Revenue Operations,Senior Manager/Director (manages departments),Less than 1,Full-time,40,80.000,10.000,na,No raise,286,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,50-54,Bachelor's Degree,30+,German,Self-employed,"Professional Services (e.g., consulting, Engineering, and legal services)",1-10,21-30,C-Level,Executive (executive leadership),21-30,Contract/Freelance,15,55.000,na,0,No raise,897,15
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,40-44,Diploma,16-20,German,A private firm,Real Estate,11-50,3-5,HR Manager,Individual Contributor (no direct reports),3-5,Part-time,35,55.000,na,0,No raise,908,35
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,45-49,Bachelor's Degree,21-30,Non-EU,A private firm,Other Services,1000+,3-5,Incident Manager,Individual Contributor (no direct reports),3-5,Full-time,40,55.000,2.000,0,No raise,916,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,6-10,German,A private firm,Technology/Software Development,1000+,6-10,Global Events Lead,Individual Contributor (no direct reports),1-2,Full-time,40,55.000,na,0,1-5%,992,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,35-39,Master's Degree,3-5,Other-EU,A private firm,Other Services,,na,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,55.000,na,0,No raise,1036,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A private firm,Other Services,11-50,1-2,Backend Software Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,55.000,na,0,No raise,1058,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Bachelor's Degree,11-15,Non-EU,A private firm,Healthcare and Pharmaceuticals,51-200,3-5,Motion Designer,Individual Contributor (no direct reports),3-5,Full-time,40,56.000,na,0,No raise,38,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Prefer not to say,Prefer not to say,Master's Degree,3-5,German,A Non-governmental organization (NGO),Prefer not to say,501-1000,1-2,Senior account manager,Prefer not to say,1-2,Full-time,40,56.000,na,0,6-10%,42,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,1000+,1-2,GIS Engineer,Prefer not to say,1-2,Full-time,40,56.000,na,0,No raise,211,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,24 or under,Bachelor's Degree,1-2,German,A private firm,Other Services,11-50,Less than 1,Junior Backend Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,56.000,na,0,No raise,339,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Non-EU,A private firm,Construction,1000+,1-2,Architect,Team Lead (manages small team),Less than 1,Full-time,40,56.000,1.400,0,16-20%,371,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Bachelor's Degree,1-2,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1000+,1-2,Solution Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,56.000,2.800,0,No raise,561,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,3-5,Non-EU,A private firm,Transportation & Storage,1000+,1-2,UX Designer,Individual Contributor (no direct reports),1-2,Full-time,40,56.000,3.000,0,1-5%,567,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Bachelor's Degree,3-5,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",501-1000,3-5,Junior Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,56.000,2.750,0,No raise,658,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,No vocational qualification attained,6-10,Non-EU,A private firm,Technology/Software Development,51-200,Less than 1,Senior Flutter Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,56.000,na,0,No raise,730,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,German,A private firm,Technology/Software Development,11-50,1-2,Software Engineer,Team Lead (manages small team),1-2,Full-time,40,56.000,na,0,1-5%,784,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,1-2,Non-EU,A private firm,Technology/Software Development,1000+,1-2,Big Data Platform Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,56.000,na,0,6-10%,794,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,11-15,Non-EU,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",1000+,6-10,"Manager, PMO",Manager (manages team),6-10,Full-time,"37,5",56.000,4.000,0,No raise,803,"37,5"
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Bachelor's Degree,6-10,Other-EU,A private firm,Technology/Software Development,11-50,1-2,People Lead,Individual Contributor (no direct reports),1-2,Part-time,32,56.000,na,0,No raise,903,32
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,Other-EU,Central or local government,Transportation & Storage,201-500,1-2,PhD student,Individual Contributor (no direct reports),1-2,Full-time,40,56.000,na,0,No raise,1006,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,25-29,Master's Degree,1-2,na,A private firm,Information & Communication,51-200,1-2,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,57.000,na,0,6-10%,23,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,6-10,Non-EU,A private firm,Manufacturing,201-500,3-5,Project Coordinator,Individual Contributor (no direct reports),3-5,Full-time,40,57.000,5.337,0,1-5%,157,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Bachelor's Degree,6-10,Non-EU,A private firm,Retail & Wholesale Trade,51-200,Less than 1,Project Manager,Individual Contributor (no direct reports),Less than 1,Full-time,40,57.000,na,0,No raise,220,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,6-10,Non-EU,A private firm,Technology/Software Development,201-500,Less than 1,Platform Engineer,Individual Contributor (no direct reports),Less than 1,Full-time,40,57.000,na,0,1-5%,282,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,6-10,Non-EU,A private firm,Other Services,51-200,1-2,Senior Data analyst,Individual Contributor (no direct reports),3-5,Full-time,40,57.000,na,0,No raise,291,40
 06/2023  ,"Yes, I'm working remotely for a Berlin-based organization.",Male,25-29,Bachelor's Degree,3-5,Non-EU,A private firm,Finance & Insurance,501-1000,Less than 1,Software Engineer,Individual Contributor (no direct reports),1-2,Full-time,40,57.000,na,0,No raise,292,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,45-49,Apprenticeship/Vocational Training (Dual System),11-15,German,A private firm,Retail & Wholesale Trade,1000+,1-2,System Administrator,Individual Contributor (no direct reports),6-10,Full-time,40,57.000,na,0,No raise,395,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,6-10,Other-EU,A private firm,Technology/Software Development,51-200,1-2,Game Developer,Individual Contributor (no direct reports),6-10,Full-time,40,57.000,3.000,0,1-5%,401,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,35-39,Bachelor's Degree,6-10,Non-EU,A private firm,Education,51-200,1-2,Senior Recruiter,Individual Contributor (no direct reports),1-2,Full-time,40,57.000,na,0,No raise,474,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,25-29,Master's Degree,1-2,German,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",11-50,Less than 1,Consultant,Individual Contributor (no direct reports),Less than 1,Full-time,40,57.000,3.000,60.000,No raise,551,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,30-34,Master's Degree,3-5,German,A Non-governmental organization (NGO),Other Services,51-200,Less than 1,Key account Manager,Individual Contributor (no direct reports),3-5,Full-time,40,57.000,1.000,0,No raise,809,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Female,35-39,Master's Degree,6-10,German,A Non-governmental organization (NGO),Healthcare and Pharmaceuticals,11-50,1-2,Referent,Team Lead (manages small team),1-2,Full-time,40,58.000,na,0,1-5%,197,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,11-15,Prefer not to say,A private firm,"Professional Services (e.g., consulting, Engineering, and legal services)",501-1000,Less than 1,Consultant,Individual Contributor (no direct reports),Less than 1,Full-time,40,58.000,5.000,0,No raise,285,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Male,30-34,Master's Degree,16-20,Dual (Ger/EU and EU),A private firm,Retail & Wholesale Trade,51-200,Less than 1,Team lead - Buyer,Team Lead (manages small team),Less than 1,Full-time,40,58.000,5.000,0,No raise,297,40
 06/2023  ,"Yes, I'm physically working in Berlin.",Non-Binary,35-39,Master's Degree,6-10,Non-EU,A private firm,Retail & Wholesale Trade,1000+,1-2,"Manager, Delivery solutions",Individual Contributor (no direct reports),1-2,Full-time,40,58.000,na,0,No raise,303,40
